parent,child
Timothy Titus,William Sanford Titus
Mary Guthrie,William Sanford Titus
Elizabeth Niesz,Mary Melissa Titus
William Sanford Titus,Mary Melissa Titus
Elizabeth Niesz,Barbara Ellen Titus
William Sanford Titus,Barbara Ellen Titus
Elizabeth Niesz,Amanda Ann Titus
William Sanford Titus,Amanda Ann Titus
Elizabeth Niesz,William Sanford Titus Jr.
William Sanford Titus,William Sanford Titus Jr.
George Niesz,John Niesz
Elizabeth Weaver,John Niesz
John Niesz,Elizabeth Niesz
Mary Young,Elizabeth Niesz
John Niesz,William Niesz
Mary Young,William Niesz
John Niesz,Mary Niesz
Mary Young,Mary Niesz
John Niesz,Jacob J. Niesz
Mary Young,Jacob J. Niesz
John Niesz,Catherine Niesz
Mary Young,Catherine Niesz
John Niesz,George W. Niesz
Mary Young,George W. Niesz
John Niesz,Barbara Ellen Niesz
Mary Young,Barbara Ellen Niesz
John Niesz,John Kossuth Niesz
Mary Young,John Kossuth Niesz
John Niesz,Sarah Ann Niesz
Mary Young,Sarah Ann Niesz
John Niesz,Benjamin Franklin Niesz
Mary Young,Benjamin Franklin Niesz
Jacob Young,Catherine Young
Barbara Herchelroth,Catherine Young
Jacob Young,Mary Young
Barbara Herchelroth,Mary Young
John Newman,Robert Newman
Barbara Herchelroth,Robert Newman
John Newman,Lawrence Newman
Barbara Herchelroth,Lawrence Newman
John Newman,Henry Newman
Barbara Herchelroth,Henry Newman
Robert Newman,Margaret Newman
Elizabeth,Margaret Newman
Robert Newman,Haman Newman
Elizabeth,Haman Newman
Robert Newman,Barbara Newman
Elizabeth,Barbara Newman
Robert Newman,Harry Newman
Elizabeth,Harry Newman
Robert Newman,Peter Newman
Elizabeth,Peter Newman
Lawrence Newman,Hermione Newman
Isabelle McGaughey,Hermione Newman
Lawrence Newman,Lucinda Newman
Isabelle McGaughey,Lucinda Newman
Lawrence Newman,Ron Newman
Isabelle McGaughey,Ron Newman
Lawrence Newman,Stephen Newman
Isabelle McGaughey,Stephen Newman
Lawrence Newman,Eliza Newman
Isabelle McGaughey,Eliza Newman
Henry Newman,John L. Newman
Sarah Hane,John L. Newman
Henry Newman,Barbara E. Newman
Sarah Hane,Barbara E. Newman
Henry Newman,Amanda Newman
Sarah Hane,Amanda Newman
Henry Newman,Catherine Newman
Sarah Hane,Catherine Newman
Catherine Young,Andrew Shafner
Frederick Shafner,Andrew Shafner
Catherine Young,John Shafner
Frederick Shafner,John Shafner
Catherine Young,Elizabeth Shafner
Frederick Shafner,Elizabeth Shafner
Catherine Young,Barbara Shafner
Frederick Shafner,Barbara Shafner
